OBJECTID,CODIGO,NOMBRE,SUBTIPO_BARRIOVEREDA,SHAPEAREA,SHAPELEN
661,1422,La Aguacatala,1,622090.15610524,3302.65805243148
662,0810,El Pinal,1,413416.804617475,3271.57455337274
663,0719,Fuente Clara,1,236441.173402975,3022.3376578443
664,0102,Santo Domingo Savio No.2,1,264750.45245083,2943.70765447313
665,0302,Las Granjas,1,641349.2750235,3964.70230586524
666,0902,Barrios de Jesús,1,442235.667275605,3754.62415027398
667,Inst_16,La Alpujarra,1,316458.787375535,2524.19319322781
668,1008,Corazón de Jesús,1,330239.70268336,2394.20528069805
669,0907,Buenos Aires,1,293164.43067628,2357.96347375624
670,0501,Toscana,1,290053.95460347,2574.00441672397
671,1203,Los Pinos,1,232997.55143503,2018.89652160067
672,0911,Gerona,1,249124.845537955,2258.09493956143
676,1609,La Hondonada,1,462119.349110795,4476.37503184725
677,0806,Llanaditas,1,320557.553129565,3611.3385873535
680,0913,Loreto,1,666996.621529295,3816.17527246949
681,0609,Picachito,1,123730.748112665,1958.49329883703
673,1212,Santa Teresita,1,317659.17366041,3340.72866198805
674,0513,Francisco Antonio Zea,1,233064.848602055,2257.01084072964
675,1608,La Mota,1,508240.32532292,4351.66542823011
678,1315,Nuevos Conquistadores,1,224237.3460931,2539.39549264383
679,1204,La América,1,358441.04256529,3311.66048133769
682,0415,Miranda,1,230378.299048405,2359.93972587716
683,Inst_14,U.D. Atanasio Girardot,1,417796.53938985,3340.18329380559
684,1421,Patio Bonito,1,729056.06802979,4102.13288376399
689,1413,El Diamante No.2,1,661034.27470397,3742.29051901543
690,1618,Nueva Villa del Aburrá,1,188599.469565485,2250.67137799902
691,0207,Villa del Socorro,1,229628.060828555,2550.4182465483
692,0811,Trece de Noviembre,1,173902.23243186,2474.87103662388
693,0602,Doce de Octubre No.1,1,436282.50898358,3074.30978536993
694,1611,La Loma de Los Bernal,1,485033.68102197,3986.65426127821
695,0901,Juan Pablo II,1,75047.226330735,2018.31809772801
696,0715,Villa Flora,1,250779.10248598,2151.65053952776
697,1502,Tenche,1,230563.654434145,2099.15007469117
685,0308,Manrique Oriental,1,373291.55937477,3004.09624898983
686,0110,La Esperanza No.2,1,67338.260559075,1299.67413853463
687,0604,Pedregal,1,581057.1775886,3625.44198345973
688,1001,Prado,1,624440.241931445,3461.06895644644
723,0413,Aranjuez,1,361138.51094988,2557.0834504281
724,0307,Manrique Central No.2,1,240903.4686109,2619.45817811677
725,0814,San Antonio,1,152122.80562556,2969.3414172851
726,1610,El Rincón,1,662338.313780955,5063.38628055667
727,SN01,Sin Nombre,1,526126.526212035,13331.5978186361
728,1202,Calasanz,1,313244.286542315,2335.37641008994
729,0404,Bermejal-Los Álamos,1,159810.329342175,1944.02608104331
730,1003,Jesús Nazareno,1,305187.55921968,2627.60113400574
